compound,seed,acc_zs,acc_icl,acc_cass,acc_retrieval,retrieved,acc_naive,support,support_precision,support_recall,eps
next-item+capitalize,2,0.0,0.7058823529411765,0.23529411764705882,0.20588235294117646,next-item,0.35294117647058826,next-item|prev-item,0.5,0.5,0.6672
next-item+capitalize,3,0.0,0.7058823529411765,0.14705882352941177,0.20588235294117646,next-item,0.35294117647058826,next-item|prev-item,0.5,0.5,0.6682
next-item+capitalize,4,0.0,0.7058823529411765,0.058823529411764705,0.20588235294117646,next-item,0.35294117647058826,capitalize-last-letter|next-item|prev-item|next-capital-letter,0.25,0.5,0.7487
antonym+capitalize-first-letter,0,0.0,0.08,0.0,0.0,next-capital-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.2,0.5,0.7119
antonym+capitalize-first-letter,1,0.0,0.08,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.7038
antonym+capitalize-first-letter,2,0.0,0.08,0.0,0.0,next-capital-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.6361
antonym+capitalize-first-letter,3,0.0,0.08,0.0,0.0,next-capital-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter,0.2,0.5,0.666
antonym+capitalize-first-letter,4,0.0,0.08,0.0,0.0,next-capital-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.2,0.5,0.8701
present-past+capitalize-first-letter,0,0.0,1.0,0.0,0.08,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.2,0.5,0.5326
present-past+capitalize-first-letter,1,0.0,1.0,0.0,0.08,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter,0.2,0.5,0.558
present-past+capitalize-first-letter,2,0.0,1.0,0.0,0.08,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.333,0.5,0.5447
present-past+capitalize-first-letter,3,0.0,1.0,0.0,0.08,capitalize-first-letter,0.0,capitalize|capitalize-first-letter|lowercase-first-letter,0.333,0.5,0.5812
present-past+capitalize-first-letter,4,0.0,1.0,0.04,0.08,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.333,0.5,0.5416
country-capital+word-length,0,0.0,0.1,0.0,0.0,prev-item,0.0,prev-item|next-capital-letter|word-length,0.333,0.5,0.843
country-capital+word-length,1,0.0,0.1,0.0,0.0,next-item,0.0,capitalize-first-letter|prev-item|word-length,0.333,0.5,0.952
country-capital+word-length,2,0.0,0.1,0.0,0.0,word-length,0.0,lowercase-first-letter|prev-item|next-capital-letter|word-length|verb-from-list,0.2,0.5,0.8553
country-capital+word-length,3,0.0,0.1,0.0,0.0,word-length,0.0,next-item|next-capital-letter|word-length,0.333,0.5,0.8461
country-capital+word-length,4,0.0,0.1,0.0,0.0,word-length,0.0,lowercase-first-letter|next-item|word-length|fruit-from-list,0.25,0.5,0.84
country-capital+lowercase-first-letter,0,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter,0.2,0.5,0.6959
country-capital+lowercase-first-letter,1,0.0,0.16,0.0,0.0,lowercase-first-letter,0.0,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.25,0.5,0.9018
country-capital+lowercase-first-letter,2,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.2,0.5,0.6909
country-capital+lowercase-first-letter,3,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.8384
country-capital+lowercase-first-letter,4,0.0,0.16,0.0,0.0,lowercase-first-letter,0.0,capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.333,0.5,0.9771
