exp,cond,task,seed,acc
control,random_dir_2,present-past,0,0.8
control,random_dir_0,country-capital,0,0.8
control,random_dir_1,country-capital,0,0.8
control,random_dir_2,country-capital,0,0.8
control,random_dir_0,person-sport,0,0.0
control,random_dir_1,person-sport,0,0.0
control,random_dir_2,person-sport,0,0.0
control,random_dir_0,english-french,0,0.04
control,random_dir_1,english-french,0,0.04
control,random_dir_2,english-french,0,0.04
control,random_dir_0,next-item,0,0.36
control,random_dir_1,next-item,0,0.36
control,random_dir_2,next-item,0,0.32
control,random_dir_0,choose-first-of-list,0,0.08
control,random_dir_1,choose-first-of-list,0,0.08
control,random_dir_2,choose-first-of-list,0,0.08
control,random_dir_0,animal-from-list,0,0.24
control,random_dir_1,animal-from-list,0,0.24
control,random_dir_2,animal-from-list,0,0.24
hparam,g1.0_b2.0_a1.0,antonym,0,0.6
hparam,g0.75_b2.0_a1.0,antonym,0,0.52
hparam,g1.25_b2.0_a1.0,antonym,0,0.64
hparam,g1.0_b1.5_a1.0,antonym,0,0.6
hparam,g1.0_b3.0_a1.0,antonym,0,0.6
hparam,g1.0_b2.0_a0.75,antonym,0,0.56
hparam,g1.0_b2.0_a1.25,antonym,0,0.6
hparam,g1.0_b2.0_a1.0,antonym,1,0.56
hparam,g0.75_b2.0_a1.0,antonym,1,0.32
hparam,g1.25_b2.0_a1.0,antonym,1,0.64
hparam,g1.0_b1.5_a1.0,antonym,1,0.56
hparam,g1.0_b3.0_a1.0,antonym,1,0.56
hparam,g1.0_b2.0_a0.75,antonym,1,0.4
hparam,g1.0_b2.0_a1.25,antonym,1,0.56
hparam,g1.0_b2.0_a1.0,present-past,0,0.88
hparam,g0.75_b2.0_a1.0,present-past,0,0.8
hparam,g1.25_b2.0_a1.0,present-past,0,0.92
hparam,g1.0_b1.5_a1.0,present-past,0,0.88
hparam,g1.0_b3.0_a1.0,present-past,0,0.88
hparam,g1.0_b2.0_a0.75,present-past,0,0.88
hparam,g1.0_b2.0_a1.25,present-past,0,0.88
hparam,g1.0_b2.0_a1.0,present-past,1,0.88
hparam,g0.75_b2.0_a1.0,present-past,1,0.8
hparam,g1.25_b2.0_a1.0,present-past,1,1.0
hparam,g1.0_b1.5_a1.0,present-past,1,0.88
hparam,g1.0_b3.0_a1.0,present-past,1,0.88
hparam,g1.0_b2.0_a0.75,present-past,1,0.88
hparam,g1.0_b2.0_a1.25,present-past,1,1.0
hparam,g1.0_b2.0_a1.0,country-capital,0,0.96
hparam,g0.75_b2.0_a1.0,country-capital,0,0.96
hparam,g1.25_b2.0_a1.0,country-capital,0,0.88
hparam,g1.0_b1.5_a1.0,country-capital,0,0.96
hparam,g1.0_b3.0_a1.0,country-capital,0,0.96
hparam,g1.0_b2.0_a0.75,country-capital,0,0.96
hparam,g1.0_b2.0_a1.25,country-capital,0,0.92
hparam,g1.0_b2.0_a1.0,country-capital,1,0.96
hparam,g0.75_b2.0_a1.0,country-capital,1,0.96
hparam,g1.25_b2.0_a1.0,country-capital,1,0.92
hparam,g1.0_b1.5_a1.0,country-capital,1,0.96
hparam,g1.0_b3.0_a1.0,country-capital,1,0.96
hparam,g1.0_b2.0_a0.75,country-capital,1,0.96
hparam,g1.0_b2.0_a1.25,country-capital,1,0.92
hparam,g1.0_b2.0_a1.0,person-sport,0,0.0
hparam,g0.75_b2.0_a1.0,person-sport,0,0.0
hparam,g1.25_b2.0_a1.0,person-sport,0,0.04
hparam,g1.0_b1.5_a1.0,person-sport,0,0.0
hparam,g1.0_b3.0_a1.0,person-sport,0,0.0
hparam,g1.0_b2.0_a0.75,person-sport,0,0.0
hparam,g1.0_b2.0_a1.25,person-sport,0,0.0
hparam,g1.0_b2.0_a1.0,person-sport,1,0.0
hparam,g0.75_b2.0_a1.0,person-sport,1,0.0
hparam,g1.25_b2.0_a1.0,person-sport,1,0.0
hparam,g1.0_b1.5_a1.0,person-sport,1,0.0
hparam,g1.0_b3.0_a1.0,person-sport,1,0.0
hparam,g1.0_b2.0_a0.75,person-sport,1,0.0
hparam,g1.0_b2.0_a1.25,person-sport,1,0.0
hparam,g1.0_b2.0_a1.0,english-french,0,0.56
hparam,g0.75_b2.0_a1.0,english-french,0,0.12
hparam,g1.25_b2.0_a1.0,english-french,0,0.6
hparam,g1.0_b1.5_a1.0,english-french,0,0.56
hparam,g1.0_b3.0_a1.0,english-french,0,0.56
hparam,g1.0_b2.0_a0.75,english-french,0,0.28
hparam,g1.0_b2.0_a1.25,english-french,0,0.56
hparam,g1.0_b2.0_a1.0,english-french,1,0.08
hparam,g0.75_b2.0_a1.0,english-french,1,0.08
hparam,g1.25_b2.0_a1.0,english-french,1,0.12
hparam,g1.0_b1.5_a1.0,english-french,1,0.08
hparam,g1.0_b3.0_a1.0,english-french,1,0.08
hparam,g1.0_b2.0_a0.75,english-french,1,0.08
hparam,g1.0_b2.0_a1.25,english-french,1,0.12
hparam,g1.0_b2.0_a1.0,next-item,0,0.48
hparam,g0.75_b2.0_a1.0,next-item,0,0.4
hparam,g1.25_b2.0_a1.0,next-item,0,0.52
hparam,g1.0_b1.5_a1.0,next-item,0,0.48
hparam,g1.0_b3.0_a1.0,next-item,0,0.48
hparam,g1.0_b2.0_a0.75,next-item,0,0.52
hparam,g1.0_b2.0_a1.25,next-item,0,0.48
hparam,g1.0_b2.0_a1.0,next-item,1,0.56
hparam,g0.75_b2.0_a1.0,next-item,1,0.44
hparam,g1.25_b2.0_a1.0,next-item,1,0.56
hparam,g1.0_b1.5_a1.0,next-item,1,0.56
hparam,g1.0_b3.0_a1.0,next-item,1,0.56
hparam,g1.0_b2.0_a0.75,next-item,1,0.52
hparam,g1.0_b2.0_a1.25,next-item,1,0.56
hparam,g1.0_b2.0_a1.0,choose-first-of-list,0,0.44
hparam,g0.75_b2.0_a1.0,choose-first-of-list,0,0.4
hparam,g1.25_b2.0_a1.0,choose-first-of-list,0,0.68
hparam,g1.0_b1.5_a1.0,choose-first-of-list,0,0.44
hparam,g1.0_b3.0_a1.0,choose-first-of-list,0,0.44
hparam,g1.0_b2.0_a0.75,choose-first-of-list,0,0.4
hparam,g1.0_b2.0_a1.25,choose-first-of-list,0,0.68
hparam,g1.0_b2.0_a1.0,choose-first-of-list,1,0.56
hparam,g0.75_b2.0_a1.0,choose-first-of-list,1,0.44
hparam,g1.25_b2.0_a1.0,choose-first-of-list,1,0.56
hparam,g1.0_b1.5_a1.0,choose-first-of-list,1,0.56
hparam,g1.0_b3.0_a1.0,choose-first-of-list,1,0.56
hparam,g1.0_b2.0_a0.75,choose-first-of-list,1,0.48
hparam,g1.0_b2.0_a1.25,choose-first-of-list,1,0.52
hparam,g1.0_b2.0_a1.0,animal-from-list,0,0.56
hparam,g0.75_b2.0_a1.0,animal-from-list,0,0.6
hparam,g1.25_b2.0_a1.0,animal-from-list,0,0.52
hparam,g1.0_b1.5_a1.0,animal-from-list,0,0.56
hparam,g1.0_b3.0_a1.0,animal-from-list,0,0.56
hparam,g1.0_b2.0_a0.75,animal-from-list,0,0.6
hparam,g1.0_b2.0_a1.25,animal-from-list,0,0.52
hparam,g1.0_b2.0_a1.0,animal-from-list,1,0.44
hparam,g0.75_b2.0_a1.0,animal-from-list,1,0.36
hparam,g1.25_b2.0_a1.0,animal-from-list,1,0.52
hparam,g1.0_b1.5_a1.0,animal-from-list,1,0.44
hparam,g1.0_b3.0_a1.0,animal-from-list,1,0.44
hparam,g1.0_b2.0_a0.75,animal-from-list,1,0.48
hparam,g1.0_b2.0_a1.25,animal-from-list,1,0.44
