suite,method,task,seed,acc
loto,hendel_replace,person-instrument,2,0.56
loto,icv_pc1,person-instrument,2,0.0
loto,retrieval,person-instrument,2,0.0
loto,hendel_replace,product-company,0,0.9
loto,icv_pc1,product-company,0,0.12
loto,retrieval,product-company,0,0.14
loto,hendel_replace,product-company,1,0.86
loto,icv_pc1,product-company,1,0.08
loto,retrieval,product-company,1,0.14
loto,hendel_replace,product-company,2,0.88
loto,icv_pc1,product-company,2,0.06
loto,retrieval,product-company,2,0.14
loto,hendel_replace,antonym,0,0.5
loto,icv_pc1,antonym,0,0.54
loto,retrieval,antonym,0,0.02
loto,hendel_replace,antonym,1,0.52
loto,icv_pc1,antonym,1,0.44
loto,retrieval,antonym,1,0.02
loto,hendel_replace,antonym,2,0.46
loto,icv_pc1,antonym,2,0.48
loto,retrieval,antonym,2,0.02
loto,hendel_replace,synonym,0,0.42
loto,icv_pc1,synonym,0,0.56
loto,retrieval,synonym,0,0.04
loto,hendel_replace,synonym,1,0.48
loto,icv_pc1,synonym,1,0.54
loto,retrieval,synonym,1,0.06
loto,hendel_replace,synonym,2,0.54
loto,icv_pc1,synonym,2,0.52
loto,retrieval,synonym,2,0.04
loto,hendel_replace,present-past,0,0.96
loto,icv_pc1,present-past,0,0.8
loto,retrieval,present-past,0,0.1
loto,hendel_replace,present-past,1,0.94
loto,icv_pc1,present-past,1,0.74
loto,retrieval,present-past,1,0.1
loto,hendel_replace,present-past,2,0.94
loto,icv_pc1,present-past,2,0.78
loto,retrieval,present-past,2,0.1
loto,hendel_replace,singular-plural,0,0.58
loto,icv_pc1,singular-plural,0,0.74
loto,retrieval,singular-plural,0,0.08
loto,hendel_replace,singular-plural,1,0.58
loto,icv_pc1,singular-plural,1,0.88
loto,retrieval,singular-plural,1,0.08
loto,hendel_replace,singular-plural,2,0.58
loto,icv_pc1,singular-plural,2,0.72
loto,retrieval,singular-plural,2,0.08
loto,hendel_replace,capitalize,0,0.54
loto,icv_pc1,capitalize,0,0.96
loto,retrieval,capitalize,0,0.48
loto,hendel_replace,capitalize,1,0.54
loto,icv_pc1,capitalize,1,0.98
loto,retrieval,capitalize,1,0.48
loto,hendel_replace,capitalize,2,0.54
loto,icv_pc1,capitalize,2,0.98
loto,retrieval,capitalize,2,0.48
loto,hendel_replace,capitalize-first-letter,0,0.92
loto,icv_pc1,capitalize-first-letter,0,0.06
loto,retrieval,capitalize-first-letter,0,0.28
loto,hendel_replace,capitalize-first-letter,1,1.0
loto,icv_pc1,capitalize-first-letter,1,0.2
loto,retrieval,capitalize-first-letter,1,0.28
loto,hendel_replace,capitalize-first-letter,2,1.0
loto,icv_pc1,capitalize-first-letter,2,0.02
loto,retrieval,capitalize-first-letter,2,0.28
loto,hendel_replace,capitalize-last-letter,0,0.44
loto,icv_pc1,capitalize-last-letter,0,0.04
loto,retrieval,capitalize-last-letter,0,0.02
loto,hendel_replace,capitalize-last-letter,1,0.24
loto,icv_pc1,capitalize-last-letter,1,0.02
loto,retrieval,capitalize-last-letter,1,0.02
loto,hendel_replace,capitalize-last-letter,2,0.46
loto,icv_pc1,capitalize-last-letter,2,0.02
loto,retrieval,capitalize-last-letter,2,0.06
loto,hendel_replace,lowercase-first-letter,0,1.0
loto,icv_pc1,lowercase-first-letter,0,0.4
loto,retrieval,lowercase-first-letter,0,0.84
loto,hendel_replace,lowercase-first-letter,1,1.0
loto,icv_pc1,lowercase-first-letter,1,0.14
loto,retrieval,lowercase-first-letter,1,0.84
loto,hendel_replace,lowercase-first-letter,2,0.86
loto,icv_pc1,lowercase-first-letter,2,0.46
loto,retrieval,lowercase-first-letter,2,0.84
loto,hendel_replace,english-french,0,0.12
loto,icv_pc1,english-french,0,0.18
loto,retrieval,english-french,0,0.0
loto,hendel_replace,english-french,1,0.14
loto,icv_pc1,english-french,1,0.02
loto,retrieval,english-french,1,0.0
loto,hendel_replace,english-french,2,0.1
loto,icv_pc1,english-french,2,0.14
loto,retrieval,english-french,2,0.0
loto,hendel_replace,english-german,0,0.14
loto,icv_pc1,english-german,0,0.02
loto,retrieval,english-german,0,0.0
loto,hendel_replace,english-german,1,0.14
loto,icv_pc1,english-german,1,0.04
loto,retrieval,english-german,1,0.0
loto,hendel_replace,english-german,2,0.14
loto,icv_pc1,english-german,2,0.04
loto,retrieval,english-german,2,0.0
loto,hendel_replace,english-spanish,0,0.18
loto,icv_pc1,english-spanish,0,0.14
loto,retrieval,english-spanish,0,0.0
loto,hendel_replace,english-spanish,1,0.16
loto,icv_pc1,english-spanish,1,0.14
loto,retrieval,english-spanish,1,0.0
loto,hendel_replace,english-spanish,2,0.18
loto,icv_pc1,english-spanish,2,0.34
loto,retrieval,english-spanish,2,0.0
loto,hendel_replace,next-item,0,0.48
loto,icv_pc1,next-item,0,0.36
loto,retrieval,next-item,0,0.12
loto,hendel_replace,next-item,1,0.56
loto,icv_pc1,next-item,1,0.38
loto,retrieval,next-item,1,0.12
loto,hendel_replace,next-item,2,0.52
loto,icv_pc1,next-item,2,0.46
loto,retrieval,next-item,2,0.12
loto,hendel_replace,prev-item,0,0.38
loto,icv_pc1,prev-item,0,0.48
loto,retrieval,prev-item,0,0.0
loto,hendel_replace,prev-item,1,0.46
loto,icv_pc1,prev-item,1,0.56
loto,retrieval,prev-item,1,0.0
loto,hendel_replace,prev-item,2,0.32
loto,icv_pc1,prev-item,2,0.46
loto,retrieval,prev-item,2,0.0
loto,hendel_replace,next-capital-letter,0,0.0
loto,icv_pc1,next-capital-letter,0,0.0
loto,retrieval,next-capital-letter,0,0.02
loto,hendel_replace,next-capital-letter,1,0.08
loto,icv_pc1,next-capital-letter,1,0.0
loto,retrieval,next-capital-letter,1,0.0
loto,hendel_replace,next-capital-letter,2,0.0
loto,icv_pc1,next-capital-letter,2,0.0
loto,retrieval,next-capital-letter,2,0.0
loto,hendel_replace,word-length,0,0.0
loto,icv_pc1,word-length,0,0.0
loto,retrieval,word-length,0,0.0
loto,hendel_replace,word-length,1,0.0
loto,icv_pc1,word-length,1,0.0
loto,retrieval,word-length,1,0.0
loto,hendel_replace,word-length,2,0.0
loto,icv_pc1,word-length,2,0.0
loto,retrieval,word-length,2,0.0
loto,hendel_replace,alphabetically-first,0,0.12
loto,icv_pc1,alphabetically-first,0,0.24
loto,retrieval,alphabetically-first,0,0.18
loto,hendel_replace,alphabetically-first,1,0.1
loto,icv_pc1,alphabetically-first,1,0.26
loto,retrieval,alphabetically-first,1,0.2
loto,hendel_replace,alphabetically-first,2,0.08
loto,icv_pc1,alphabetically-first,2,0.2
loto,retrieval,alphabetically-first,2,0.18
loto,hendel_replace,alphabetically-last,0,0.12
loto,icv_pc1,alphabetically-last,0,0.2
loto,retrieval,alphabetically-last,0,0.2
loto,hendel_replace,alphabetically-last,1,0.18
loto,icv_pc1,alphabetically-last,1,0.18
loto,retrieval,alphabetically-last,1,0.2
loto,hendel_replace,alphabetically-last,2,0.2
loto,icv_pc1,alphabetically-last,2,0.22
loto,retrieval,alphabetically-last,2,0.2
loto,hendel_replace,choose-first-of-list,0,0.12
loto,icv_pc1,choose-first-of-list,0,0.58
loto,retrieval,choose-first-of-list,0,0.68
loto,hendel_replace,choose-first-of-list,1,0.3
loto,icv_pc1,choose-first-of-list,1,0.66
loto,retrieval,choose-first-of-list,1,0.52
loto,hendel_replace,choose-first-of-list,2,0.06
loto,icv_pc1,choose-first-of-list,2,0.7
loto,retrieval,choose-first-of-list,2,0.68
loto,hendel_replace,choose-last-of-list,0,0.22
loto,icv_pc1,choose-last-of-list,0,0.38
loto,retrieval,choose-last-of-list,0,0.16
loto,hendel_replace,choose-last-of-list,1,0.22
loto,icv_pc1,choose-last-of-list,1,0.42
loto,retrieval,choose-last-of-list,1,0.1
loto,hendel_replace,choose-last-of-list,2,0.28
loto,icv_pc1,choose-last-of-list,2,0.48
loto,retrieval,choose-last-of-list,2,0.16
loto,hendel_replace,choose-middle-of-list,0,0.12
loto,icv_pc1,choose-middle-of-list,0,0.18
loto,retrieval,choose-middle-of-list,0,0.04
loto,hendel_replace,choose-middle-of-list,1,0.12
loto,icv_pc1,choose-middle-of-list,1,0.16
loto,retrieval,choose-middle-of-list,1,0.06
loto,hendel_replace,choose-middle-of-list,2,0.08
loto,icv_pc1,choose-middle-of-list,2,0.1
loto,retrieval,choose-middle-of-list,2,0.04
loto,hendel_replace,animal-from-list,0,0.18
loto,icv_pc1,animal-from-list,0,0.58
loto,retrieval,animal-from-list,0,0.32
loto,hendel_replace,animal-from-list,1,0.22
loto,icv_pc1,animal-from-list,1,0.5
loto,retrieval,animal-from-list,1,0.14
loto,hendel_replace,animal-from-list,2,0.12
loto,icv_pc1,animal-from-list,2,0.3
loto,retrieval,animal-from-list,2,0.32
loto,hendel_replace,color-from-list,0,0.64
loto,icv_pc1,color-from-list,0,0.48
loto,retrieval,color-from-list,0,0.44
loto,hendel_replace,color-from-list,1,0.32
loto,icv_pc1,color-from-list,1,0.3
loto,retrieval,color-from-list,1,0.44
loto,hendel_replace,color-from-list,2,0.7
loto,icv_pc1,color-from-list,2,0.46
loto,retrieval,color-from-list,2,0.44
loto,hendel_replace,fruit-from-list,0,0.36
loto,icv_pc1,fruit-from-list,0,0.52
loto,retrieval,fruit-from-list,0,0.34
loto,hendel_replace,fruit-from-list,1,0.34
loto,icv_pc1,fruit-from-list,1,0.6
loto,retrieval,fruit-from-list,1,0.34
loto,hendel_replace,fruit-from-list,2,0.3
loto,icv_pc1,fruit-from-list,2,0.4
loto,retrieval,fruit-from-list,2,0.34
loto,hendel_replace,verb-from-list,0,0.12
loto,icv_pc1,verb-from-list,0,0.32
loto,retrieval,verb-from-list,0,0.32
loto,hendel_replace,verb-from-list,1,0.14
loto,icv_pc1,verb-from-list,1,0.36
loto,retrieval,verb-from-list,1,0.38
loto,hendel_replace,verb-from-list,2,0.12
loto,icv_pc1,verb-from-list,2,0.32
loto,retrieval,verb-from-list,2,0.32
novel,hendel_replace,country-continent,0,0.78
novel,icv_pc1,country-continent,0,0.26
novel,retrieval,country-continent,0,0.28
novel,hendel_replace,country-continent,1,0.78
novel,icv_pc1,country-continent,1,0.14
novel,retrieval,country-continent,1,0.28
novel,hendel_replace,country-continent,2,0.78
novel,icv_pc1,country-continent,2,0.0
novel,retrieval,country-continent,2,0.28
novel,hendel_replace,element-symbol,0,0.22
novel,icv_pc1,element-symbol,0,0.02
novel,retrieval,element-symbol,0,0.0
novel,hendel_replace,element-symbol,1,0.38
novel,icv_pc1,element-symbol,1,0.0
novel,retrieval,element-symbol,1,0.12
novel,hendel_replace,element-symbol,2,0.4
novel,icv_pc1,element-symbol,2,0.56
novel,retrieval,element-symbol,2,0.0
novel,hendel_replace,animal-baby,0,0.52
novel,icv_pc1,animal-baby,0,0.0
novel,retrieval,animal-baby,0,0.0
novel,hendel_replace,animal-baby,1,0.5
novel,icv_pc1,animal-baby,1,0.02
novel,retrieval,animal-baby,1,0.0
novel,hendel_replace,animal-baby,2,0.54
novel,icv_pc1,animal-baby,2,0.0
novel,retrieval,animal-baby,2,0.0
novel,hendel_replace,fruit-color,0,0.76
novel,icv_pc1,fruit-color,0,0.24
novel,retrieval,fruit-color,0,0.0
novel,hendel_replace,fruit-color,1,0.78
novel,icv_pc1,fruit-color,1,0.1
novel,retrieval,fruit-color,1,0.0
novel,hendel_replace,fruit-color,2,0.68
novel,icv_pc1,fruit-color,2,0.12
novel,retrieval,fruit-color,2,0.0
novel,hendel_replace,profession-workplace,0,0.3142857142857143
novel,icv_pc1,profession-workplace,0,0.08571428571428572
novel,retrieval,profession-workplace,0,0.02857142857142857
novel,hendel_replace,profession-workplace,1,0.14285714285714285
novel,icv_pc1,profession-workplace,1,0.08571428571428572
novel,retrieval,profession-workplace,1,0.0
novel,hendel_replace,profession-workplace,2,0.34285714285714286
novel,icv_pc1,profession-workplace,2,0.02857142857142857
novel,retrieval,profession-workplace,2,0.0
novel,hendel_replace,capital-country,0,0.5
novel,icv_pc1,capital-country,0,0.8333333333333334
novel,retrieval,capital-country,0,0.6666666666666666
novel,hendel_replace,capital-country,1,0.5
novel,icv_pc1,capital-country,1,0.875
novel,retrieval,capital-country,1,0.6666666666666666
novel,hendel_replace,capital-country,2,0.5
novel,icv_pc1,capital-country,2,0.8541666666666666
novel,retrieval,capital-country,2,0.6666666666666666
novel,hendel_replace,verb-gerund,0,0.64
novel,icv_pc1,verb-gerund,0,0.02
novel,retrieval,verb-gerund,0,0.0
novel,hendel_replace,verb-gerund,1,0.58
novel,icv_pc1,verb-gerund,1,0.1
novel,retrieval,verb-gerund,1,0.0
novel,hendel_replace,verb-gerund,2,0.72
novel,icv_pc1,verb-gerund,2,0.0
novel,retrieval,verb-gerund,2,0.0
novel,hendel_replace,adjective-comparative,0,0.0
novel,icv_pc1,adjective-comparative,0,0.0
novel,retrieval,adjective-comparative,0,0.0
novel,hendel_replace,adjective-comparative,1,0.0
novel,icv_pc1,adjective-comparative,1,0.0
novel,retrieval,adjective-comparative,1,0.0
novel,hendel_replace,adjective-comparative,2,0.02
novel,icv_pc1,adjective-comparative,2,0.0
novel,retrieval,adjective-comparative,2,0.0
novel,hendel_replace,adjective-adverb,0,0.52
novel,icv_pc1,adjective-adverb,0,0.32
novel,retrieval,adjective-adverb,0,0.22
novel,hendel_replace,adjective-adverb,1,0.54
novel,icv_pc1,adjective-adverb,1,0.38
novel,retrieval,adjective-adverb,1,0.22
novel,hendel_replace,adjective-adverb,2,0.52
novel,icv_pc1,adjective-adverb,2,0.36
novel,retrieval,adjective-adverb,2,0.22
novel,hendel_replace,past-present,0,0.92
novel,icv_pc1,past-present,0,0.58
novel,retrieval,past-present,0,0.08
novel,hendel_replace,past-present,1,0.94
novel,icv_pc1,past-present,1,0.48
novel,retrieval,past-present,1,0.08
novel,hendel_replace,past-present,2,0.88
novel,icv_pc1,past-present,2,0.4
novel,retrieval,past-present,2,0.08
novel,hendel_replace,english-italian,0,0.3
novel,icv_pc1,english-italian,0,0.04
novel,retrieval,english-italian,0,0.06
novel,hendel_replace,english-italian,1,0.26
novel,icv_pc1,english-italian,1,0.0
novel,retrieval,english-italian,1,0.0
novel,hendel_replace,english-italian,2,0.26
novel,icv_pc1,english-italian,2,0.08
novel,retrieval,english-italian,2,0.0
novel,hendel_replace,english-portuguese,0,0.34
novel,icv_pc1,english-portuguese,0,0.12
novel,retrieval,english-portuguese,0,0.0
novel,hendel_replace,english-portuguese,1,0.34
novel,icv_pc1,english-portuguese,1,0.1
novel,retrieval,english-portuguese,1,0.0
novel,hendel_replace,english-portuguese,2,0.34
novel,icv_pc1,english-portuguese,2,0.02
novel,retrieval,english-portuguese,2,0.0
novel,hendel_replace,french-english,0,0.72
novel,icv_pc1,french-english,0,0.72
novel,retrieval,french-english,0,0.06
novel,hendel_replace,french-english,1,0.74
novel,icv_pc1,french-english,1,0.7
novel,retrieval,french-english,1,0.06
novel,hendel_replace,french-english,2,0.74
novel,icv_pc1,french-english,2,0.64
novel,retrieval,french-english,2,0.46
novel,hendel_replace,word-last-letter,0,0.54
novel,icv_pc1,word-last-letter,0,0.02
novel,retrieval,word-last-letter,0,0.0
novel,hendel_replace,word-last-letter,1,0.42
novel,icv_pc1,word-last-letter,1,0.0
novel,retrieval,word-last-letter,1,0.0
novel,hendel_replace,word-last-letter,2,0.56
novel,icv_pc1,word-last-letter,2,0.04
novel,retrieval,word-last-letter,2,0.0
novel,hendel_replace,number-plus-one,0,0.0
novel,icv_pc1,number-plus-one,0,0.66
novel,retrieval,number-plus-one,0,0.96
novel,hendel_replace,number-plus-one,1,0.0
novel,icv_pc1,number-plus-one,1,0.54
novel,retrieval,number-plus-one,1,0.96
novel,hendel_replace,number-plus-one,2,0.0
novel,icv_pc1,number-plus-one,2,0.62
novel,retrieval,number-plus-one,2,0.96
